Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
204,18,57,28,2,0,64.28,1,caught,1,v Sri Lanka,Sharjah,09-11-1998,ODI # 1370
205,11,33,12,2,0,91.66,2,caught,2,v Zimbabwe,Sharjah,11-11-1998,ODI # 1373
206,124*,140,92,12,6,134.78,2,not out,2,v Zimbabwe,Sharjah,13-11-1998,ODI # 1374
207,0,10,5,0,0,0.00,2,caught,1,v New Zealand,Taupo,09-01-1999,ODI # 1378
208,23,37,19,4,0,121.05,2,caught,2,v New Zealand,Napier,12-01-1999,ODI # 1381
209,45,68,42,2,2,107.14,2,stumped,1,v New Zealand,Wellington,14-01-1999,ODI # 1383
210,5,27,12,1,0,41.66,1,lbw,2,v New Zealand,Auckland,16-01-1999,ODI # 1385
211,28,71,46,5,0,60.86,2,caught,1,v South Africa,Hove,15-05-1999,ODI # 1444
212,140*,114,101,16,3,138.61,4,not out,1,v Kenya,Bristol,23-05-1999,ODI # 1457
213,2,10,3,0,0,66.66,4,bowled,1,v Sri Lanka,Taunton,26-05-1999,ODI # 1463
214,22,49,40,2,0,55.00,4,caught,1,v England,Birmingham,29-05-1999,ODI # 1467
215,0,5,4,0,0,0.00,2,caught,2,v Australia,The Oval,04-06-1999,ODI # 1473
216,45,92,65,5,0,69.23,1,caught,1,v Pakistan,Manchester,08-06-1999,ODI # 1476
217,16,26,22,2,0,72.72,1,bowled,1,v New Zealand,Nottingham,12-06-1999,ODI # 1480
218,14,52,33,0,0,42.42,2,caught,1,v Australia,Galle,23-08-1999,ODI # 1486
219,37,105,58,1,0,63.79,2,run out,1,v Sri Lanka,Colombo (RPS),25-08-1999,ODI # 1487
220,120,191,141,11,2,85.10,1,caught,1,v Sri Lanka,Colombo (SSC),29-08-1999,ODI # 1490
221,85,114,72,7,3,118.05,2,caught,1,v Zimbabwe,Singapore,04-09-1999,ODI # 1493
222,40,97,65,6,0,61.53,1,caught,1,v West Indies,Singapore,07-09-1999,ODI # 1495
223,0,-,6,0,0,0.00,1,caught,1,v West Indies,Singapore,08-09-1999,ODI # 1496
224,32,61,31,2,1,103.22,2,caught,2,v New Zealand,Rajkot,05-11-1999,ODI # 1522
225,186*,221,150,20,3,124.00,2,not out,1,v New Zealand,Hyderabad (Deccan),08-11-1999,ODI # 1523
226,1,41,23,0,0,4.34,2,caught,1,v New Zealand,Gwalior,11-11-1999,ODI # 1524
227,2,21,10,0,0,20.00,2,caught,2,v New Zealand,Guwahati,14-11-1999,ODI # 1525
228,0,2,3,0,0,0.00,4,caught,2,v New Zealand,Delhi,17-11-1999,ODI # 1526
229,13,28,26,2,0,50.00,4,bowled,1,v Pakistan,Brisbane,10-01-2000,ODI # 1537
230,12,25,11,2,0,109.09,4,run out,2,v Australia,Melbourne,12-01-2000,ODI # 1539
231,1,13,11,0,0,9.09,2,caught,1,v Australia,Sydney,14-01-2000,ODI # 1540
232,93,157,103,10,0,90.29,1,bowled,2,v Pakistan,Hobart,21-01-2000,ODI # 1543
233,41,69,46,5,0,89.13,1,caught,1,v Pakistan,Adelaide,25-01-2000,ODI # 1547
234,18,45,28,2,0,64.28,1,caught,2,v Australia,Adelaide,26-01-2000,ODI # 1548
235,17,19,14,4,0,121.42,1,caught,2,v Pakistan,Perth,28-01-2000,ODI # 1550
